条目ID,名称,目的地,字段,当前口径,状态,处理建议
A334,上海博物馆,上海,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A334,上海博物馆,上海,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A335,陆家嘴,上海,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A335,陆家嘴,上海,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A336,多伦路文化名人街,上海,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A336,多伦路文化名人街,上海,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A337,朱家角古镇,上海,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A337,朱家角古镇,上海,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A338,上海科技馆,上海,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A338,上海科技馆,上海,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A339,田子坊,上海,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A339,田子坊,上海,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A340,上海自然博物馆,上海,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A340,上海自然博物馆,上海,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A091,那拉提草原,伊犁,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A091,那拉提草原,伊犁,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A092,喀拉峻草原,伊犁,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A092,喀拉峻草原,伊犁,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A093,赛里木湖,伊犁,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A093,赛里木湖,伊犁,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A094,果子沟大桥,伊犁,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A094,果子沟大桥,伊犁,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A095,霍城薰衣草园,伊犁,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A095,霍城薰衣草园,伊犁,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A096,伊宁市,伊犁,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A096,伊宁市,伊犁,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A097,独库公路,伊犁,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A097,独库公路,伊犁,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A098,特克斯八卦城,伊犁,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A098,特克斯八卦城,伊犁,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A099,喀赞其民俗旅游区,伊犁,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A099,喀赞其民俗旅游区,伊犁,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A100,夏塔旅游区,伊犁,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A100,夏塔旅游区,伊犁,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A002,八达岭长城,北京,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A005,圆明园遗址公园,北京,门票与预约,公园门票需购票或预约；遗址区票务规则以官方渠道当日公告为准（待核实）,部分兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A005,圆明园遗址公园,北京,开放时间,以官方渠道当日公告为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A007,天安门广场,北京,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A007,天安门广场,北京,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A008,什刹海与南锣鼓巷,北京,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A008,什刹海与南锣鼓巷,北京,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A009,北海公园,北京,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A009,北海公园,北京,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A010,798艺术区,北京,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A010,798艺术区,北京,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A101,喀纳斯湖,北疆（乌鲁木齐-喀纳斯）,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A101,喀纳斯湖,北疆（乌鲁木齐-喀纳斯）,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A102,禾木村,北疆（乌鲁木齐-喀纳斯）,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A102,禾木村,北疆（乌鲁木齐-喀纳斯）,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A103,天山天池,北疆（乌鲁木齐-喀纳斯）,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A103,天山天池,北疆（乌鲁木齐-喀纳斯）,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A104,乌鲁木齐国际大巴扎,北疆（乌鲁木齐-喀纳斯）,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A104,乌鲁木齐国际大巴扎,北疆（乌鲁木齐-喀纳斯）,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A105,可可托海,北疆（乌鲁木齐-喀纳斯）,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A105,可可托海,北疆（乌鲁木齐-喀纳斯）,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A106,白哈巴村,北疆（乌鲁木齐-喀纳斯）,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A106,白哈巴村,北疆（乌鲁木齐-喀纳斯）,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A107,五彩滩,北疆（乌鲁木齐-喀纳斯）,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A107,五彩滩,北疆（乌鲁木齐-喀纳斯）,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A108,赛里木湖,北疆（乌鲁木齐-喀纳斯）,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A108,赛里木湖,北疆（乌鲁木齐-喀纳斯）,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A109,天山大峡谷,北疆（乌鲁木齐-喀纳斯）,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A109,天山大峡谷,北疆（乌鲁木齐-喀纳斯）,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A110,可可苏里,北疆（乌鲁木齐-喀纳斯）,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A110,可可苏里,北疆（乌鲁木齐-喀纳斯）,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A271,中山陵,南京,门票与预约,通过官网或官方渠道实名预约；具体票务和放票规则以官方渠道当日公告为准（待核实）,部分兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A271,中山陵,南京,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A274,夫子庙与秦淮河,南京,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A274,夫子庙与秦淮河,南京,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A275,明城墙,南京,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A275,明城墙,南京,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A276,玄武湖公园,南京,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A276,玄武湖公园,南京,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A277,先锋书店五台山店,南京,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A277,先锋书店五台山店,南京,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A278,老门东,南京,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A278,老门东,南京,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A279,鸡鸣寺,南京,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A279,鸡鸣寺,南京,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A280,南京眼步行桥,南京,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A280,南京眼步行桥,南京,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A261,鼓浪屿,厦门,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A261,鼓浪屿,厦门,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A262,环岛路,厦门,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A262,环岛路,厦门,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A263,曾厝垵,厦门,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A263,曾厝垵,厦门,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A264,厦门大学,厦门,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A264,厦门大学,厦门,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A265,沙坡尾,厦门,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A265,沙坡尾,厦门,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A266,南普陀寺,厦门,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A266,南普陀寺,厦门,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A267,胡里山炮台,厦门,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A267,胡里山炮台,厦门,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A268,五缘湾湿地公园,厦门,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A268,五缘湾湿地公园,厦门,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A269,中山路步行街,厦门,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A269,中山路步行街,厦门,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A270,演武大桥观景平台,厦门,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A270,演武大桥观景平台,厦门,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A051,呼伦贝尔大草原,呼伦贝尔,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A051,呼伦贝尔大草原,呼伦贝尔,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A052,额尔古纳湿地,呼伦贝尔,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A052,额尔古纳湿地,呼伦贝尔,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A053,满洲里,呼伦贝尔,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A053,满洲里,呼伦贝尔,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A054,莫日格勒河,呼伦贝尔,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A054,莫日格勒河,呼伦贝尔,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A055,根河,呼伦贝尔,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A055,根河,呼伦贝尔,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A056,室韦,呼伦贝尔,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A056,室韦,呼伦贝尔,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A057,阿尔山,呼伦贝尔,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A057,阿尔山,呼伦贝尔,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A058,敖鲁古雅使鹿部落,呼伦贝尔,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A058,敖鲁古雅使鹿部落,呼伦贝尔,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A059,套娃广场,呼伦贝尔,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A059,套娃广场,呼伦贝尔,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A060,黑山头草原,呼伦贝尔,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A060,黑山头草原,呼伦贝尔,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A121,哈尔滨冰雪大世界,哈尔滨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A121,哈尔滨冰雪大世界,哈尔滨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A122,中央大街,哈尔滨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A122,中央大街,哈尔滨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A123,圣索菲亚教堂,哈尔滨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A123,圣索菲亚教堂,哈尔滨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A124,太阳岛,哈尔滨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A124,太阳岛,哈尔滨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A125,松花江,哈尔滨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A125,松花江,哈尔滨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A126,亚布力滑雪场,哈尔滨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A126,亚布力滑雪场,哈尔滨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A127,东北虎林园,哈尔滨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A127,东北虎林园,哈尔滨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A128,伏尔加庄园,哈尔滨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A128,伏尔加庄园,哈尔滨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A129,哈尔滨大剧院,哈尔滨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A129,哈尔滨大剧院,哈尔滨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A130,群力外滩湿地公园,哈尔滨,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A130,群力外滩湿地公园,哈尔滨,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A181,洱海,大理-丽江,开放时间,古城街区全天开放；馆点开放时间以官方渠道当日公告为准（待核实）,部分兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A182,大理古城,大理-丽江,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A182,大理古城,大理-丽江,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A183,崇圣寺三塔,大理-丽江,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A183,崇圣寺三塔,大理-丽江,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A184,丽江古城,大理-丽江,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A184,丽江古城,大理-丽江,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A185,玉龙雪山,大理-丽江,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A185,玉龙雪山,大理-丽江,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A186,束河古镇,大理-丽江,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A186,束河古镇,大理-丽江,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A187,白沙古镇,大理-丽江,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A187,白沙古镇,大理-丽江,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A188,苍山,大理-丽江,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A188,苍山,大理-丽江,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A189,双廊古镇,大理-丽江,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A189,双廊古镇,大理-丽江,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A190,蓝月谷,大理-丽江,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A190,蓝月谷,大理-丽江,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A011,江岭,婺源,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A011,江岭,婺源,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A012,篁岭,婺源,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A012,篁岭,婺源,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A013,思溪延村,婺源,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A013,思溪延村,婺源,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A014,李坑,婺源,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A014,李坑,婺源,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A015,汪口,婺源,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A015,汪口,婺源,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A016,江湾,婺源,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A016,江湾,婺源,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A017,彩虹桥,婺源,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A017,彩虹桥,婺源,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A018,卧龙谷,婺源,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A018,卧龙谷,婺源,开放时间,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
A019,晓起村,婺源,门票与预约,以官方渠道为准（待核实）,完全兜底,以官方渠道当日公告回填票价、预约、放票和开放时间
