kb_id,kb_name,kb_city,classification,operational_status,status_source,status_checked_at,status_note
A071,青海湖,西宁-青海湖,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A072,茶卡盐湖,西宁-青海湖,cross_city,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A073,塔尔寺,西宁-青海湖,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A074,日月山,西宁-青海湖,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A075,门源油菜花,西宁-青海湖,cross_city,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A076,祁连山,西宁-青海湖,cross_city,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A077,黑马河,西宁-青海湖,cross_city,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A078,西宁东关清真大寺,西宁-青海湖,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A079,卓尔山,西宁-青海湖,cross_city,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A080,龙羊峡,西宁-青海湖,cross_city,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A081,莫高窟,敦煌-嘉峪关,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A082,鸣沙山月牙泉,敦煌-嘉峪关,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A083,嘉峪关关城,敦煌-嘉峪关,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A084,张掖七彩丹霞,敦煌-嘉峪关,cross_city,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A085,阳关,敦煌-嘉峪关,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A086,玉门关,敦煌-嘉峪关,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A087,雅丹魔鬼城,敦煌-嘉峪关,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A088,敦煌夜市,敦煌-嘉峪关,covered_variant,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A089,悬壁长城,敦煌-嘉峪关,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A090,榆林窟,敦煌-嘉峪关,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A091,那拉提草原,伊犁,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A092,喀拉峻草原,伊犁,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A093,赛里木湖,伊犁,cross_city,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A094,果子沟大桥,伊犁,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A095,霍城薰衣草园,伊犁,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A096,伊宁市,伊犁,experience,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A097,独库公路,伊犁,experience,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A098,特克斯八卦城,伊犁,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A099,喀赞其民俗旅游区,伊犁,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A100,夏塔旅游区,伊犁,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A101,喀纳斯湖,北疆（乌鲁木齐-喀纳斯）,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A102,禾木村,北疆（乌鲁木齐-喀纳斯）,covered_variant,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A103,天山天池,北疆（乌鲁木齐-喀纳斯）,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A104,乌鲁木齐国际大巴扎,北疆（乌鲁木齐-喀纳斯）,covered_variant,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A105,可可托海,北疆（乌鲁木齐-喀纳斯）,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A106,白哈巴村,北疆（乌鲁木齐-喀纳斯）,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A107,五彩滩,北疆（乌鲁木齐-喀纳斯）,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A108,赛里木湖,北疆（乌鲁木齐-喀纳斯）,cross_city,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A109,天山大峡谷,北疆（乌鲁木齐-喀纳斯）,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A110,可可苏里,北疆（乌鲁木齐-喀纳斯）,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A111,长白山天池,长白山,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A112,长白瀑布,长白山,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A113,聚龙温泉,长白山,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A114,地下森林,长白山,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A115,绿渊潭,长白山,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A116,魔界,长白山,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A117,二道白河,长白山,experience,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A118,长白山西坡,长白山,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A119,长白山自然博物馆,长白山,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A120,松江河国家森林公园,长白山,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A121,哈尔滨冰雪大世界,哈尔滨,unmatched,seasonal,本地口径登记,2026-09-04,冰雪大世界为季节性项目，开放窗口与运营安排需按官方公告核实
A122,中央大街,哈尔滨,covered_variant,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A123,圣索菲亚教堂,哈尔滨,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A124,太阳岛,哈尔滨,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A125,松花江,哈尔滨,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A126,亚布力滑雪场,哈尔滨,covered_variant,seasonal,本地口径登记,2026-09-04,滑雪场具有明显雪季属性，非雪季运营范围需按官方公告核实
A127,东北虎林园,哈尔滨,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A128,伏尔加庄园,哈尔滨,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A129,哈尔滨大剧院,哈尔滨,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A130,群力外滩湿地公园,哈尔滨,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A131,龙门石窟,洛阳,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A132,白马寺,洛阳,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A133,洛阳博物馆,洛阳,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A134,洛阳老城十字街,洛阳,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A135,隋唐洛阳城国家遗址公园,洛阳,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A136,王城公园,洛阳,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A137,关林,洛阳,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A138,洛邑古城,洛阳,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A139,白云山,洛阳,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A140,龙潭大峡谷,洛阳,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A141,张家界国家森林公园,张家界,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A142,天门山,张家界,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A143,大峡谷玻璃桥,张家界,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A144,黄龙洞,张家界,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A145,金鞭溪,张家界,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A146,凤凰古城,张家界,cross_city,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A147,宝峰湖,张家界,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A148,芙蓉镇,张家界,cross_city,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A149,黄石寨,张家界,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A150,十里画廊,张家界,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A151,黄果树瀑布,贵阳,cross_city,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A152,青岩古镇,贵阳,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A153,黔灵山公园,贵阳,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A154,甲秀楼,贵阳,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A155,青云路夜市,贵阳,covered_variant,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A156,荔波小七孔,贵阳,cross_city,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A157,龙宫,贵阳,cross_city,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A158,西江千户苗寨,贵阳,cross_city,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A159,花溪公园,贵阳,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A160,天河潭,贵阳,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A161,漓江,桂林,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A162,阳朔西街,桂林,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A163,遇龙河,桂林,covered_variant,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A164,龙脊梯田,桂林,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A165,象鼻山,桂林,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A166,两江四湖,桂林,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A167,十里画廊,桂林,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A168,兴坪古镇,桂林,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A169,靖江王府,桂林,covered_variant,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A170,尧山景区,桂林,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A171,告庄西双景,西双版纳,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A172,中科院西双版纳热带植物园,西双版纳,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A173,野象谷,西双版纳,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A174,傣族园,西双版纳,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A175,原始森林公园,西双版纳,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A176,曼听公园,西双版纳,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A177,勐泐大佛寺,西双版纳,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A178,澜沧江夜游,西双版纳,experience,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A179,望天树景区,西双版纳,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A180,勐远仙境,西双版纳,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A181,洱海,大理-丽江,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A182,大理古城,大理-丽江,covered_variant,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A183,崇圣寺三塔,大理-丽江,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A184,丽江古城,大理-丽江,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A185,玉龙雪山,大理-丽江,covered_exact,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A186,束河古镇,大理-丽江,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A187,白沙古镇,大理-丽江,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A188,苍山,大理-丽江,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A189,双廊古镇,大理-丽江,covered_variant,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A190,蓝月谷,大理-丽江,covered_component,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
A191,滇池,昆明,unmatched,unknown,待官网核对,2026-09-04,尚未完成官方运营状态核对；如闭园、改造或暂停开放，需保留状态卡
